epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.855,1.86246,2.49506,1.0444,0.16299,0.14987,0.10799,0.05655,1.76991,1.67228,1.02144,0.000237265,0.000237265,0.000237265
2,287.526,1.69466,1.56222,0.99679,0.2088,0.19722,0.16011,0.08657,1.60408,1.38576,0.96816,0.00045174,0.00045174,0.00045174
3,448.562,1.65476,1.44338,0.98568,0.26571,0.21313,0.18248,0.09876,1.6106,1.34338,0.96165,0.000642652,0.000642652,0.000642652
4,646.74,1.61316,1.37863,0.97491,0.28865,0.23098,0.18523,0.10322,1.56519,1.32081,0.9713,0.000607971,0.000607971,0.000607971
5,730.807,1.58297,1.32494,0.96892,0.2896,0.23916,0.19462,0.10628,1.53656,1.32647,0.96345,0.000572628,0.000572628,0.000572628
6,1228.1,1.57019,1.28794,0.96515,0.339,0.24029,0.21897,0.12178,1.50741,1.21579,0.94615,0.000537285,0.000537285,0.000537285
7,1357.9,1.54885,1.25067,0.95892,0.33315,0.26514,0.23536,0.1324,1.50148,1.17785,0.94456,0.000501942,0.000501942,0.000501942
8,1485.28,1.54921,1.23406,0.9565,0.33109,0.26791,0.23982,0.13695,1.48971,1.17835,0.94364,0.000466599,0.000466599,0.000466599
9,1610.34,1.52728,1.21625,0.95429,0.34666,0.26379,0.24066,0.13634,1.48212,1.16479,0.9412,0.000431256,0.000431256,0.000431256
10,1735.1,1.51579,1.19555,0.94866,0.36735,0.26677,0.24672,0.14064,1.45535,1.13769,0.93597,0.000395913,0.000395913,0.000395913
11,1915.6,1.47828,1.17788,0.94847,0.40971,0.262,0.24821,0.139,1.46658,1.15141,0.93866,0.00036057,0.00036057,0.00036057
12,2067.59,1.46437,1.14521,0.94697,0.39319,0.26759,0.25699,0.14739,1.45624,1.12421,0.93394,0.000325227,0.000325227,0.000325227
13,2174.13,1.45028,1.12644,0.94122,0.38183,0.27343,0.26188,0.14993,1.44249,1.11987,0.93134,0.000289884,0.000289884,0.000289884
14,2247.04,1.43871,1.11167,0.9403,0.3901,0.28209,0.26732,0.15211,1.43503,1.09839,0.93034,0.000254541,0.000254541,0.000254541
15,2328.14,1.42635,1.09301,0.93551,0.39849,0.28352,0.27454,0.15755,1.42989,1.08401,0.9287,0.000219198,0.000219198,0.000219198
16,2403.07,1.42246,1.08076,0.93369,0.40376,0.28856,0.27737,0.15976,1.41813,1.07801,0.92596,0.000183855,0.000183855,0.000183855
17,2480.35,1.41516,1.07092,0.92998,0.40225,0.28721,0.27665,0.15961,1.42939,1.07233,0.92666,0.000148512,0.000148512,0.000148512
18,2560.22,1.40589,1.05521,0.92955,0.40476,0.29126,0.28259,0.16308,1.4232,1.05968,0.92492,0.000113169,0.000113169,0.000113169
19,2636.61,1.40193,1.04752,0.92941,0.41077,0.29047,0.28286,0.16349,1.41617,1.05411,0.92395,7.7826e-05,7.7826e-05,7.7826e-05
20,2715,1.38782,1.03108,0.92474,0.41584,0.29646,0.28859,0.1668,1.40317,1.04256,0.92244,4.2483e-05,4.2483e-05,4.2483e-05
