epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.384,1.46719,1.11294,0.93569,0.40382,0.28517,0.27556,0.15899,1.43022,1.07965,0.92924,0.000237265,0.000237265,0.000237265
2,562.525,1.47565,1.13005,0.93962,0.37143,0.29081,0.2648,0.15065,1.44324,1.11219,0.93232,0.000459582,0.000459582,0.000459582
3,723.265,1.49694,1.14278,0.9444,0.36309,0.27792,0.25811,0.1454,1.47028,1.12798,0.93846,0.00066619,0.00066619,0.00066619
4,941.4,1.48701,1.14139,0.94305,0.38145,0.27249,0.25956,0.14707,1.45563,1.12904,0.93921,0.000643314,0.000643314,0.000643314
5,1058.72,1.47649,1.13721,0.94127,0.39112,0.27647,0.26282,0.14942,1.45129,1.12692,0.93796,0.000619752,0.000619752,0.000619752
6,1152.99,1.47583,1.12581,0.94015,0.37616,0.2798,0.26448,0.14924,1.45244,1.10969,0.93431,0.00059619,0.00059619,0.00059619
7,1611.21,1.46822,1.10712,0.93831,0.38874,0.29284,0.27725,0.15756,1.44066,1.07968,0.93171,0.000572628,0.000572628,0.000572628
8,1741.05,1.47402,1.10736,0.9372,0.37565,0.28874,0.27079,0.15378,1.43638,1.09676,0.93194,0.000549066,0.000549066,0.000549066
9,1871.48,1.4598,1.10058,0.93683,0.39096,0.29537,0.2795,0.15827,1.43572,1.094,0.93134,0.000525504,0.000525504,0.000525504
10,1996.48,1.45664,1.09013,0.93381,0.37988,0.29147,0.27513,0.15648,1.44072,1.06209,0.92933,0.000501942,0.000501942,0.000501942
11,2124.59,1.45703,1.09582,0.93632,0.3859,0.29911,0.27859,0.1596,1.42032,1.06343,0.92891,0.00047838,0.00047838,0.00047838
12,2376.51,1.45815,1.09249,0.93426,0.39336,0.29864,0.28706,0.16463,1.41097,1.06133,0.92499,0.000454818,0.000454818,0.000454818
13,2526.29,1.44041,1.0745,0.92997,0.39539,0.30079,0.28218,0.15943,1.42966,1.06617,0.9278,0.000431256,0.000431256,0.000431256
14,2652.7,1.44177,1.07483,0.93079,0.39617,0.30176,0.29014,0.16488,1.41017,1.03958,0.92554,0.000407694,0.000407694,0.000407694
15,2780.96,1.43672,1.06984,0.93074,0.41908,0.30529,0.29864,0.17209,1.39671,1.02999,0.92431,0.000384132,0.000384132,0.000384132
16,2913.97,1.42994,1.05291,0.92744,0.40873,0.30496,0.29635,0.16973,1.4115,1.03158,0.92409,0.00036057,0.00036057,0.00036057
17,3048.67,1.42827,1.05128,0.92707,0.41312,0.31493,0.30308,0.1744,1.39394,1.01722,0.92065,0.000337008,0.000337008,0.000337008
18,3204.9,1.42765,1.04343,0.92583,0.41996,0.31,0.30241,0.17495,1.39309,1.01634,0.91983,0.000313446,0.000313446,0.000313446
19,3340.23,1.40902,1.03194,0.92375,0.43007,0.31001,0.30362,0.17484,1.3872,1.0238,0.92055,0.000289884,0.000289884,0.000289884
20,3467,1.41554,1.02788,0.92271,0.44695,0.31215,0.30897,0.17798,1.38405,1.00345,0.91749,0.000266322,0.000266322,0.000266322
21,3947.26,1.37992,1.00892,0.92324,0.40761,0.31715,0.30082,0.17338,1.38769,1.01532,0.91949,0.00024276,0.00024276,0.00024276
22,4065.46,1.37194,0.99189,0.92186,0.41524,0.31573,0.30424,0.1755,1.3845,1.01034,0.91821,0.000219198,0.000219198,0.000219198
23,4197.86,1.36199,0.97964,0.91899,0.42913,0.3177,0.30926,0.17757,1.38022,0.99773,0.91766,0.000195636,0.000195636,0.000195636
24,4313.14,1.35569,0.97089,0.91774,0.43364,0.31476,0.30678,0.17711,1.38471,0.99487,0.91681,0.000172074,0.000172074,0.000172074
25,4444.07,1.34452,0.95988,0.91605,0.42645,0.31992,0.31278,0.17864,1.38245,0.99507,0.91688,0.000148512,0.000148512,0.000148512
26,4572.44,1.33843,0.95285,0.91281,0.4196,0.32167,0.31028,0.17949,1.3721,0.99067,0.91616,0.00012495,0.00012495,0.00012495
27,4692.22,1.33746,0.94665,0.9136,0.43336,0.32102,0.31522,0.18234,1.37161,0.98213,0.91515,0.000101388,0.000101388,0.000101388
28,4818.33,1.33137,0.9402,0.91152,0.43352,0.32296,0.31702,0.18323,1.36617,0.97915,0.91488,7.7826e-05,7.7826e-05,7.7826e-05
29,5188.12,1.32694,0.93647,0.91093,0.43337,0.32594,0.31708,0.18335,1.3658,0.97775,0.91375,5.4264e-05,5.4264e-05,5.4264e-05
30,5309.73,1.31869,0.9272,0.90905,0.43311,0.32287,0.31593,0.18287,1.36355,0.97399,0.91371,3.0702e-05,3.0702e-05,3.0702e-05
