epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.575,1.86246,2.49506,1.0444,0.16299,0.14987,0.10799,0.05655,1.76991,1.67228,1.02144,0.000237265,0.000237265,0.000237265
2,313.622,1.69643,1.56301,0.99729,0.21536,0.19183,0.15828,0.08478,1.60826,1.39464,0.97035,0.000465855,0.000465855,0.000465855
3,470.558,1.65662,1.44372,0.98605,0.2399,0.2162,0.18235,0.09909,1.61226,1.33521,0.96349,0.00068502,0.00068502,0.00068502
4,683.132,1.61648,1.38283,0.97651,0.27474,0.22934,0.1882,0.10413,1.5653,1.31326,0.96996,0.000671588,0.000671588,0.000671588
5,818.556,1.58904,1.32745,0.97066,0.298,0.23085,0.19526,0.10716,1.55072,1.30627,0.96454,0.000657451,0.000657451,0.000657451
6,953.655,1.5759,1.29493,0.96686,0.32228,0.22628,0.21388,0.11866,1.52038,1.24796,0.95081,0.000643314,0.000643314,0.000643314
7,1100.58,1.55949,1.25946,0.9624,0.32891,0.25883,0.22593,0.12717,1.50553,1.19063,0.95074,0.000629177,0.000629177,0.000629177
8,1232.04,1.55595,1.24195,0.95886,0.33264,0.25818,0.23044,0.13063,1.49685,1.20929,0.94564,0.00061504,0.00061504,0.00061504
9,1349.12,1.53664,1.22624,0.95712,0.34518,0.2572,0.235,0.13267,1.50127,1.19051,0.94511,0.000600902,0.000600902,0.000600902
10,1476.21,1.5299,1.20822,0.95271,0.35334,0.2663,0.24114,0.13699,1.47793,1.15473,0.9416,0.000586765,0.000586765,0.000586765
11,1602.92,1.51846,1.1929,0.95221,0.36661,0.26882,0.25127,0.1418,1.46451,1.14171,0.93796,0.000572628,0.000572628,0.000572628
12,1735.05,1.51752,1.18597,0.94903,0.38007,0.27572,0.25986,0.14627,1.44686,1.13326,0.93501,0.000558491,0.000558491,0.000558491
13,1869.06,1.49766,1.16106,0.9446,0.38242,0.27035,0.25762,0.14371,1.46089,1.13594,0.93719,0.000544354,0.000544354,0.000544354
14,2013.2,1.49802,1.16212,0.94517,0.40658,0.28391,0.26587,0.14986,1.44758,1.09883,0.93439,0.000530216,0.000530216,0.000530216
15,2147.17,1.49313,1.15355,0.94444,0.38304,0.283,0.26502,0.15153,1.43916,1.10257,0.93593,0.000516079,0.000516079,0.000516079
16,2254.55,1.48261,1.13386,0.94092,0.38137,0.2868,0.2728,0.15507,1.4381,1.0922,0.93065,0.000501942,0.000501942,0.000501942
17,2368.85,1.47904,1.13152,0.94028,0.40595,0.28582,0.27716,0.15869,1.42715,1.08144,0.93171,0.000487805,0.000487805,0.000487805
18,2474.77,1.47816,1.11896,0.93872,0.39658,0.28971,0.28071,0.16074,1.42432,1.07947,0.92869,0.000473668,0.000473668,0.000473668
19,2612.24,1.46157,1.10599,0.93734,0.39483,0.3006,0.28307,0.16232,1.41618,1.07245,0.9289,0.00045953,0.00045953,0.00045953
20,2696.64,1.46447,1.10316,0.93522,0.39067,0.29368,0.27798,0.1605,1.42202,1.07412,0.92429,0.000445393,0.000445393,0.000445393
21,2974.91,1.45676,1.09804,0.93571,0.40843,0.30047,0.29041,0.16554,1.40863,1.05404,0.92464,0.000431256,0.000431256,0.000431256
22,3059.35,1.44916,1.08423,0.93203,0.41508,0.29766,0.28986,0.16587,1.41783,1.04986,0.92529,0.000417119,0.000417119,0.000417119
