epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.197,1.74768,4.26845,1.3127,1,0.02467,0.19682,0.11209,1.66146,4.09153,1.16099,0.000232465,0.000232465,0.000232465
2,252.904,1.60266,2.76088,1.16338,0.73324,0.35877,0.41845,0.23631,1.58866,2.8137,1.2397,0.00046115,0.00046115,0.00046115
3,382.356,1.49617,2.15256,1.13819,0.67946,0.45281,0.4728,0.2814,1.47508,2.24102,1.23636,0.00068041,0.00068041,0.00068041
4,511.99,1.44893,1.83789,1.10786,0.70841,0.51958,0.50961,0.30729,1.4972,1.8702,1.23403,0.000671588,0.000671588,0.000671588
5,642.759,1.39959,1.72165,1.13392,0.52718,0.61396,0.62173,0.3544,1.5719,1.79857,1.22415,0.000657451,0.000657451,0.000657451
6,776.866,1.37729,1.47969,1.09107,0.6884,0.68582,0.70833,0.40685,1.49618,1.70289,1.16727,0.000643314,0.000643314,0.000643314
7,931.549,1.32596,1.34158,1.05728,0.80179,0.70941,0.77477,0.43776,1.48303,1.50007,1.15395,0.000629177,0.000629177,0.000629177
8,1094.29,1.32747,1.28995,1.06657,0.70643,0.82051,0.78253,0.45424,1.4901,1.39,1.15333,0.00061504,0.00061504,0.00061504
9,1269.29,1.31928,1.26439,1.05885,0.76241,0.74575,0.78688,0.45343,1.47276,1.36327,1.16926,0.000600902,0.000600902,0.000600902
10,1403.65,1.35746,1.26226,1.08164,0.7933,0.76917,0.79633,0.49373,1.45204,1.2882,1.14129,0.000586765,0.000586765,0.000586765
11,1532.06,1.24739,1.13527,1.02796,0.83037,0.76929,0.82944,0.50864,1.40896,1.26627,1.11588,0.000572628,0.000572628,0.000572628
12,1662.19,1.24916,1.06278,1.03405,0.8418,0.81371,0.87295,0.50816,1.45103,1.23107,1.13142,0.000558491,0.000558491,0.000558491
13,1794.26,1.23465,1.04935,1.02783,0.79667,0.73344,0.81286,0.48871,1.46316,1.29408,1.13853,0.000544354,0.000544354,0.000544354
14,1939.09,1.19096,1.0783,1.027,0.78382,0.83023,0.87293,0.51762,1.41229,1.23239,1.11005,0.000530216,0.000530216,0.000530216
15,2094.85,1.18641,1.03829,1.02051,0.85052,0.85672,0.88047,0.5158,1.49145,1.34084,1.15381,0.000516079,0.000516079,0.000516079
16,2247.72,1.18551,0.97198,1.00976,0.82798,0.84809,0.86133,0.52537,1.36262,1.15458,1.10905,0.000501942,0.000501942,0.000501942
17,2404.37,1.1697,0.95216,0.99857,0.80948,0.84988,0.90572,0.52482,1.44254,1.21163,1.1213,0.000487805,0.000487805,0.000487805
18,2557.64,1.2111,0.97512,1.021,0.86501,0.85878,0.90086,0.5495,1.37087,1.09118,1.09677,0.000473668,0.000473668,0.000473668
19,2707.89,1.15084,0.92585,0.99617,0.85592,0.83264,0.86879,0.51255,1.40446,1.11504,1.09705,0.00045953,0.00045953,0.00045953
20,2850.56,1.14466,0.94811,0.99868,0.88663,0.86815,0.90941,0.53685,1.44338,1.10236,1.10471,0.000445393,0.000445393,0.000445393
21,2981.35,1.1171,0.90029,0.98328,0.90066,0.89503,0.92095,0.5473,1.39575,1.0417,1.09689,0.000431256,0.000431256,0.000431256
22,3113.44,1.13831,0.90917,0.99725,0.925,0.84956,0.91999,0.54527,1.40653,1.03775,1.09841,0.000417119,0.000417119,0.000417119
