epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.647,3.69816,3.2874,2.48609,0.37455,0.05526,0.03475,0.01333,2.77091,2.21106,1.49138,0.000237816,0.000237816,0.000237816
2,528.102,2.43849,1.96895,1.36508,0.42353,0.08635,0.06175,0.02806,2.30349,1.87887,1.25009,0.000466395,0.000466395,0.000466395
3,771.498,2.16556,1.76889,1.21718,0.47494,0.10727,0.0887,0.04234,2.0368,1.63718,1.15751,0.000685549,0.000685549,0.000685549
4,1016.37,2.02388,1.64884,1.15666,0.36611,0.1329,0.10015,0.0484,1.9938,1.6811,1.11488,0.000671588,0.000671588,0.000671588
5,1260.29,1.93291,1.55539,1.11935,0.30814,0.16195,0.12886,0.06622,1.80012,1.44887,1.07234,0.000657451,0.000657451,0.000657451
6,1488.91,1.8566,1.48694,1.09337,0.24547,0.16056,0.12833,0.06691,1.84777,1.43137,1.06204,0.000643314,0.000643314,0.000643314
7,1716.92,1.79683,1.43268,1.07039,0.23905,0.16596,0.14382,0.07413,1.7681,1.3629,1.04228,0.000629177,0.000629177,0.000629177
8,1956.64,1.74265,1.37062,1.05366,0.26814,0.1912,0.16141,0.08732,1.66228,1.29862,1.02305,0.00061504,0.00061504,0.00061504
9,2186.82,1.71002,1.34916,1.04589,0.26037,0.19317,0.16828,0.09116,1.64729,1.27483,1.01361,0.000600902,0.000600902,0.000600902
10,2414.3,1.67277,1.30321,1.03304,0.26955,0.19786,0.17152,0.09207,1.62329,1.24956,1.00664,0.000586765,0.000586765,0.000586765
11,2662.03,1.6681,1.30406,1.03253,0.3621,0.20355,0.18113,0.09821,1.59019,1.24319,0.99977,0.000572628,0.000572628,0.000572628
12,2896.12,1.63058,1.26614,1.02225,0.29815,0.20118,0.18067,0.09764,1.60338,1.21905,0.99539,0.000558491,0.000558491,0.000558491
13,3126.76,1.61992,1.24558,1.01206,0.28488,0.2096,0.18929,0.10318,1.57028,1.19232,0.98783,0.000544354,0.000544354,0.000544354
14,3360.68,1.59591,1.22822,1.00573,0.29253,0.21003,0.19288,0.10863,1.54179,1.1808,0.98462,0.000530216,0.000530216,0.000530216
