epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,342.692,3.56926,3.29385,2.55318,0.37603,0.07521,0.04242,0.01779,2.54296,2.22018,1.53635,0.000237816,0.000237816,0.000237816
2,670.808,2.30605,2.04807,1.4025,0.33715,0.10205,0.07931,0.03953,2.08927,1.86055,1.25816,0.000466395,0.000466395,0.000466395
3,1009.97,2.06398,1.83875,1.23281,0.27559,0.13567,0.11085,0.05694,1.89998,1.706,1.15621,0.000685549,0.000685549,0.000685549
4,1361.35,1.93593,1.71896,1.16682,0.22316,0.1595,0.12928,0.06765,1.87006,1.64853,1.12568,0.000671588,0.000671588,0.000671588
5,1689.23,1.85339,1.62443,1.12649,0.29085,0.17545,0.15503,0.08317,1.75139,1.51036,1.08728,0.000657451,0.000657451,0.000657451
6,2016.3,1.79255,1.55977,1.10589,0.31637,0.18135,0.15761,0.08658,1.76646,1.50673,1.07565,0.000643314,0.000643314,0.000643314
7,2349.76,1.73939,1.50673,1.08018,0.29736,0.2028,0.17928,0.0984,1.70448,1.42758,1.05433,0.000629177,0.000629177,0.000629177
8,2710.31,1.69388,1.44702,1.06336,0.2885,0.2112,0.18776,0.1053,1.63949,1.41274,1.03416,0.00061504,0.00061504,0.00061504
9,3080.67,1.66794,1.41731,1.05759,0.34104,0.22679,0.20977,0.11804,1.59283,1.31549,1.02443,0.000600902,0.000600902,0.000600902
10,3485.76,1.63062,1.37752,1.04375,0.32787,0.22847,0.21379,0.12067,1.56998,1.31082,1.01748,0.000586765,0.000586765,0.000586765
11,3817.19,1.63257,1.37916,1.04388,0.30446,0.23707,0.21581,0.12224,1.54254,1.29826,1.00969,0.000572628,0.000572628,0.000572628
12,4170.29,1.59569,1.33525,1.03324,0.34771,0.24658,0.22887,0.13079,1.54011,1.27205,1.00359,0.000558491,0.000558491,0.000558491
13,4493.03,1.58343,1.31608,1.02417,0.34331,0.25203,0.23374,0.13326,1.51191,1.24059,0.99795,0.000544354,0.000544354,0.000544354
14,4810.69,1.56269,1.29817,1.01716,0.42212,0.24352,0.24233,0.13997,1.50612,1.23219,0.99393,0.000530216,0.000530216,0.000530216
15,5117.29,1.54934,1.28794,1.015,0.38113,0.26038,0.24698,0.14392,1.48918,1.2221,0.9892,0.000516079,0.000516079,0.000516079
16,5418.74,1.54014,1.26446,1.00901,0.37437,0.26338,0.25242,0.14703,1.46986,1.19945,0.98349,0.000501942,0.000501942,0.000501942
17,5724.19,1.53332,1.25494,1.00525,0.41861,0.25397,0.25681,0.15041,1.46741,1.1907,0.98109,0.000487805,0.000487805,0.000487805
18,6024.07,1.52162,1.24119,1.00151,0.4191,0.26636,0.26361,0.15344,1.4449,1.17338,0.97574,0.000473668,0.000473668,0.000473668
19,6323.35,1.50383,1.22112,0.99593,0.36541,0.27202,0.26365,0.15478,1.44085,1.15271,0.97464,0.00045953,0.00045953,0.00045953
20,6622.12,1.49908,1.2142,0.99489,0.39614,0.27805,0.27203,0.15913,1.44574,1.14883,0.97413,0.000445393,0.000445393,0.000445393
21,6922.06,1.49251,1.20391,0.99243,0.40048,0.27745,0.2746,0.16126,1.42342,1.14329,0.96923,0.000431256,0.000431256,0.000431256
22,7220.36,1.4699,1.1831,0.98664,0.38977,0.28741,0.27533,0.16191,1.42748,1.12861,0.9686,0.000417119,0.000417119,0.000417119
23,7516.33,1.47493,1.18495,0.98748,0.39672,0.28753,0.27861,0.16268,1.41774,1.12124,0.96616,0.000402982,0.000402982,0.000402982
24,7813.91,1.45902,1.16002,0.98593,0.4217,0.28396,0.28187,0.16457,1.41413,1.11419,0.96548,0.000388844,0.000388844,0.000388844
